epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,175.277,0.7243,0.92,1,0.24954,0.067375,0.000329545,0.000329545
2,347.527,0.46317,0.93667,1,0.1628,0.0343518,0.000639678,0.000639678
3,520.418,0.37457,0.95667,1,0.10574,0.00130527,0.000926477,0.000926477
4,693.309,0.33168,0.95,1,0.14345,0.000895,0.000895,0.000895
5,864.896,0.36646,0.96667,1,0.10847,0.00086,0.00086,0.00086
6,1035.78,0.30499,0.95333,1,0.09948,0.000825,0.000825,0.000825
7,1209.64,0.30859,0.96333,1,0.10955,0.00079,0.00079,0.00079
8,1383.2,0.29172,0.97333,1,0.1126,0.000755,0.000755,0.000755
9,1556.12,0.25992,0.97,1,0.08545,0.00072,0.00072,0.00072
10,1729.79,0.26429,0.95667,1,0.10042,0.000685,0.000685,0.000685
11,1903.87,0.22481,0.95333,1,0.09367,0.00065,0.00065,0.00065
12,2074.57,0.2619,0.98333,1,0.04594,0.000615,0.000615,0.000615
13,2248.01,0.24518,0.96667,1,0.08354,0.00058,0.00058,0.00058
14,2420.65,0.2601,0.97333,1,0.09309,0.000545,0.000545,0.000545
15,2594.26,0.22194,0.97333,1,0.08057,0.00051,0.00051,0.00051
16,2769.86,0.23497,0.97667,1,0.07093,0.000475,0.000475,0.000475
17,2944.73,0.20708,0.97667,1,0.05501,0.00044,0.00044,0.00044
